"","DELTA","SE","TValue","PValue"
"(Intercept)"," 0.0045"," 0.0225"," 0.1982"," 0.8429"
"y1_l1","-0.3889"," 0.5321","-0.7309"," 0.4649"
"y2_l1"," 0.5725"," 0.6535"," 0.8761"," 0.3811"
"Wy2_l1","-1.0398"," 0.6190","-1.6799"," 0.0931"
"MEDHOMVAL1","-0.1760"," 0.0632","-2.7833"," 0.0054"
"Scale1"," 0.1222"," 0.0287"," 4.2510"," 0.0000"
"share1"," 0.0580"," 0.0281"," 2.0617"," 0.0393"
"share651","-0.0163"," 0.0195","-0.8381"," 0.4021"
"rurala1","-0.0069"," 0.0160","-0.4323"," 0.6656"
"ruraln1"," 0.0232"," 0.0225"," 1.0308"," 0.3027"
"poverty1","-0.1291"," 0.0388","-3.3278"," 0.0009"
"WY21","-1.2457"," 0.6931","-1.7972"," 0.0724"
"y21"," 1.0959"," 0.9657"," 1.1348"," 0.2565"
"BB1"," 0.5381"," 0.1709"," 3.1477"," 0.0017"
"rho"," 0.3534"," 0.1105"," 3.1990"," 0.0014"
"(Intercept)","-0.0004"," 0.0095","-0.0397"," 0.9683"
"y1_l2","-0.2806"," 0.1640","-1.7108"," 0.0872"
"Wy1_l2","-0.0632"," 0.0480","-1.3151"," 0.1886"
"y2_l2","-0.7310"," 0.1294","-5.6507"," 0.0000"
"hwy2"," 0.0791"," 0.0354"," 2.2344"," 0.0255"
"EDUC2","-0.0058"," 0.0211","-0.2753"," 0.7831"
"wagesA.20082"," 0.0062"," 0.0106"," 0.5861"," 0.5578"
"taxwageA.20082","-0.0337"," 0.0145","-2.3266"," 0.0201"
"UNrate2","-0.0124"," 0.0084","-1.4721"," 0.1411"
"MEDHHINC2","-0.0066"," 0.0110","-0.6009"," 0.5479"
"share652","-0.0121"," 0.0100","-1.2114"," 0.2258"
"rurala2"," 0.0073"," 0.0085"," 0.8615"," 0.3891"
"ruraln2"," 0.0188"," 0.0100"," 1.8863"," 0.0593"
"WY12","-0.0131"," 0.0574","-0.2291"," 0.8188"
"y12"," 0.0330"," 0.1248"," 0.2645"," 0.7914"
"BB2"," 0.0988"," 0.0531"," 1.8611"," 0.0628"
"rho"," 0.4155"," 0.0671"," 6.1903"," 0.0000"
